"frequency","Slope of conduction_velocity","Lower","Upper","Significance"
37.7085481804449,-0.00736397780801616,-0.0333654583129217,0.0186375026968894,"Insignificant"
38.0312889565578,-0.00724387928259614,-0.0332212003321656,0.0187334417669734,"Insignificant"
38.3540297326708,-0.00712378075717613,-0.0330770868465336,0.0188295253321814,"Insignificant"
38.6767705087838,-0.00700368223175612,-0.032933118257505,0.0189257537939927,"Insignificant"
38.9995112848968,-0.0068835837063361,-0.032789294965612,0.0190221275529398,"Insignificant"
39.3222520610097,-0.00676348518091609,-0.0326456173704131,0.0191186470085809,"Insignificant"
39.6449928371227,-0.00664338665549608,-0.0325020858704656,0.0192153125594734,"Insignificant"
39.9677336132357,-0.00652328813007606,-0.0323587008632991,0.019312124603147,"Insignificant"
40.2904743893487,-0.00640318960465605,-0.032215462745388,0.0194090835360759,"Insignificant"
40.6132151654616,-0.00628309107923604,-0.0320723719121241,0.019506189753652,"Insignificant"
40.9359559415746,-0.00616299255381603,-0.0319294287577895,0.0196034436501574,"Insignificant"
41.2586967176876,-0.00604289402839601,-0.0317866336755287,0.0197008456187366,"Insignificant"
41.5814374938006,-0.005922795502976,-0.0316439870573211,0.0197983960513691,"Insignificant"
41.9041782699135,-0.00580269697755599,-0.0315014892939534,0.0198960953388414,"Insignificant"
42.2269190460265,-0.00568259845213598,-0.0313591407749915,0.0199939438707195,"Insignificant"
42.5496598221395,-0.00556249992671596,-0.0312169418887525,0.0200919420353206,"Insignificant"
42.8724005982525,-0.00544240140129595,-0.031074893022277,0.0201900902196851,"Insignificant"
