,animal_id,unit_id,test_id,trial_id,sex,unit_type,conduction_velocity,absolute_charge,response_probability_all,response_probability_initial,frequency
86,hff02,hff02_2,frequency_electrical_200.0~-1.0_1.0,hff02_2_frequency_electrical_200.0~-1.0_1.0_0,M,SA,15.836799519853214,1320.0,0.20166666666666666,0.43333333333333335,200
87,hff20,hff20_1,frequency_electrical_200.0~-1.0_1.0,hff20_1_frequency_electrical_200.0~-1.0_1.0_0,F,SA,17.951329875519964,360.0,0.5583333333333333,0.9666666666666667,200
88,hff13,hff13_2,frequency_electrical_200.0~-1.0_1.0,hff13_2_frequency_electrical_200.0~-1.0_1.0_0,F,FA,18.868919131922272,240.0,0.585,1.0,200
89,hff19,hff19_3,frequency_electrical_200.0~-1.0_1.0,hff19_3_frequency_electrical_200.0~-1.0_1.0_0,M,FA,19.745486271016695,1200.0,0.275,0.6,200
90,hff11,hff11_2,frequency_electrical_200.0~-1.0_1.0,hff11_2_frequency_electrical_200.0~-1.0_1.0_0,F,FA,22.135128780021784,720.0,0.22833333333333333,0.5,200
91,hff02,hff02_1,frequency_electrical_200.0~-1.0_1.0,hff02_1_frequency_electrical_200.0~-1.0_1.0_0,M,FA,22.20494034099179,480.0,0.10333333333333333,0.23333333333333334,200
92,hff19,hff19_2,frequency_electrical_200.0~-1.0_1.0,hff19_2_frequency_electrical_200.0~-1.0_1.0_0,M,SA,23.202329105578443,360.0,1.0,1.0,200
93,hff12,hff12_1,frequency_electrical_200.0~-1.0_1.0,hff12_1_frequency_electrical_200.0~-1.0_1.0_1,F,Ad,24.451816072112912,240.0,1.0,1.0,200
94,hff11,hff11_1,frequency_electrical_200.0~-1.0_1.0,hff11_1_frequency_electrical_200.0~-1.0_1.0_0,F,FA,25.854068427202865,720.0,0.4583333333333333,0.7333333333333333,200
95,hff15,hff15_1,frequency_electrical_200.0~-1.0_1.0,hff15_1_frequency_electrical_200.0~-1.0_1.0_1,M,,28.103205149979775,480.0,1.0,1.0,200
96,hff16,hff16_1,frequency_electrical_200.0~-1.0_1.0,hff16_1_frequency_electrical_200.0~-1.0_1.0_0,M,SA,28.430261549470504,840.0,0.18666666666666668,0.43333333333333335,200
97,hff03,hff03_3,frequency_electrical_200.0~-1.0_1.0,hff03_3_frequency_electrical_200.0~-1.0_1.0_1,F,FA,32.67135269699128,600.0,0.825,1.0,200
